[INFO | app | line 125] 2025-04-11T19:29:49+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:29:49+0800: Response data for stars_dfa: {'input': '111111111111111', 'final_state': 19, 'accepted': False, 'state_sequence': [0, 2, 5, 6, 7, 8, 12, 17, 19, 19, 19, 19, 19, 19, 19, 19], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:29:49+0800: 127.0.0.1 - - [11/Apr/2025 19:29:49] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:30:09+0800: Recieved dfa input type stars_dfa
[INFO | app | line 125] 2025-04-11T19:30:09+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:30:09+0800: Response data for stars_dfa: {'input': '111111111111111', 'final_state': 19, 'accepted': False, 'state_sequence': [0, 2, 5, 6, 7, 8, 12, 17, 19, 19, 19, 19, 19, 19, 19, 19], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:30:09+0800: 127.0.0.1 - - [11/Apr/2025 19:30:09] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:32:34+0800: 127.0.0.1 - - [11/Apr/2025 19:32:34] "[36mGET / HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:32:34+0800: 127.0.0.1 - - [11/Apr/2025 19:32:34] "GET /style.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:32:35+0800: 127.0.0.1 - - [11/Apr/2025 19:32:35] "[36mGET /script.js HTTP/1.1[0m" 304 -
[INFO | app | line 124] 2025-04-11T19:32:42+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:32:42+0800: Recieved dfa input type abababababa
[INFO | app | line 136] 2025-04-11T19:32:42+0800: Response data for bets_dfa: {'input': 'abababababa', 'final_state': 12, 'accepted': True, 'state_sequence': [0, 2, 4, 3, 6, 10, 11, 12, 12, 12, 12, 12], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:32:42+0800: 127.0.0.1 - - [11/Apr/2025 19:32:42] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:33:01+0800: Recieved dfa input type stars_dfa
[INFO | app | line 125] 2025-04-11T19:33:01+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:33:01+0800: Response data for stars_dfa: {'input': '111111111111111', 'final_state': 19, 'accepted': False, 'state_sequence': [0, 2, 5, 6, 7, 8, 12, 17, 19, 19, 19, 19, 19, 19, 19, 19], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:33:01+0800: 127.0.0.1 - - [11/Apr/2025 19:33:01] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:33:54+0800: Recieved dfa input type stars_dfa
[INFO | app | line 125] 2025-04-11T19:33:54+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:33:54+0800: Response data for stars_dfa: {'input': '111111111111111', 'final_state': 19, 'accepted': False, 'state_sequence': [0, 2, 5, 6, 7, 8, 12, 17, 19, 19, 19, 19, 19, 19, 19, 19], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:33:54+0800: 127.0.0.1 - - [11/Apr/2025 19:33:54] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:34:03+0800: 127.0.0.1 - - [11/Apr/2025 19:34:03] "[36mGET / HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:34:03+0800: 127.0.0.1 - - [11/Apr/2025 19:34:03] "GET /style.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:34:03+0800: 127.0.0.1 - - [11/Apr/2025 19:34:03] "[36mGET /script.js HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:34:09+0800: 127.0.0.1 - - [11/Apr/2025 19:34:09] "[36mGET / HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:34:09+0800: 127.0.0.1 - - [11/Apr/2025 19:34:09] "GET /style.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:34:09+0800: 127.0.0.1 - - [11/Apr/2025 19:34:09] "[36mGET /script.js HTTP/1.1[0m" 304 -
[INFO | app | line 124] 2025-04-11T19:34:37+0800: Recieved dfa input type stars_dfa
[INFO | app | line 125] 2025-04-11T19:34:37+0800: Recieved dfa input type 111111111111111
[INFO | app | line 136] 2025-04-11T19:34:37+0800: Response data for stars_dfa: {'input': '111111111111111', 'final_state': 19, 'accepted': False, 'state_sequence': [0, 2, 5, 6, 7, 8, 12, 17, 19, 19, 19, 19, 19, 19, 19, 19], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:34:37+0800: 127.0.0.1 - - [11/Apr/2025 19:34:37] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:36:11+0800: 127.0.0.1 - - [11/Apr/2025 19:36:11] "[36mGET / HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:36:11+0800: 127.0.0.1 - - [11/Apr/2025 19:36:11] "GET /style.css HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:36:11+0800: 127.0.0.1 - - [11/Apr/2025 19:36:11] "[36mGET /script.js HTTP/1.1[0m" 304 -
